claim,language,label,source,evidence,topic
Narendra Modi is the Prime Minister of India,en,0,official_record,Narendra Modi has served as India's Prime Minister since May 2014,politics
Vladimir Putin is the President of Russia,en,0,official_record,Vladimir Putin has served as President of Russia across multiple terms since 2000,politics
Xi Jinping is the President of China,en,0,official_record,Xi Jinping has been General Secretary of the CCP and President of China since 2013,politics
Joe Biden served as the 46th President of the United States,en,0,official_record,Joe Biden was inaugurated as the 46th US President on January 20 2021,politics
Emmanuel Macron is the President of France,en,0,official_record,Emmanuel Macron has been President of France since May 2017,politics
Olaf Scholz is the Chancellor of Germany,en,0,official_record,Olaf Scholz succeeded Angela Merkel as German Chancellor in December 2021,politics
Cyril Ramaphosa is the President of South Africa,en,0,official_record,Cyril Ramaphosa has been President of South Africa since February 2018,politics
Luiz Inácio Lula da Silva is the President of Brazil,en,0,official_record,Lula da Silva returned to the presidency of Brazil in January 2023,politics
Abdel Fattah el-Sisi is the President of Egypt,en,0,official_record,Abdel Fattah el-Sisi has been President of Egypt since 2014,politics
India is a federal parliamentary democratic republic,en,0,official_record,India's government is based on the Westminster model of parliamentary democracy,politics
The Indian Parliament consists of the Lok Sabha and the Rajya Sabha,en,0,official_record,The Lok Sabha is the lower house and the Rajya Sabha is the upper house of India's Parliament,politics
India became independent from British rule on August 15 1947,en,0,official_record,India's independence was achieved through the efforts of leaders like Gandhi and Nehru,politics
The Indian Constitution came into effect on January 26 1950,en,0,official_record,January 26 is celebrated as Republic Day in India,politics
Dr B R Ambedkar was the chairman of the drafting committee of the Indian Constitution,en,0,official_record,Ambedkar is known as the father of the Indian Constitution,politics
Jawaharlal Nehru was the first Prime Minister of India,en,0,official_record,Nehru served as India's first PM from 1947 until his death in 1964,politics
Rajendra Prasad was the first President of India,en,0,official_record,Rajendra Prasad served as India's first President from 1950 to 1962,politics
Indira Gandhi was the first female Prime Minister of India,en,0,official_record,Indira Gandhi served as PM from 1966 to 1977 and again from 1980 to 1984,politics
Mahatma Gandhi led India's nonviolent independence movement,en,0,official_record,Gandhi pioneered the philosophy of nonviolent civil disobedience called satyagraha,politics
The Indian National Congress was founded in 1885,en,0,official_record,The INC was one of the primary forces behind India's independence movement,politics
The Bharatiya Janata Party was founded in 1980,en,0,official_record,The BJP is currently the ruling party of India under Narendra Modi,politics
India has 28 states and 8 union territories,en,0,official_record,India's federal structure divides the country into states and union territories,politics
India's currency is the Indian Rupee,en,0,official_record,The Indian Rupee has the currency code INR,politics
The Reserve Bank of India is the country's central bank,en,0,official_record,The RBI was established in 1935 and manages India's monetary policy,politics
Droupadi Murmu became India's first tribal President in 2022,en,0,official_record,Droupadi Murmu was elected India's 15th President in July 2022,politics
India is the world's largest democracy,en,0,official_record,India has the largest number of eligible voters of any democratic country,politics
The Lok Sabha has 543 elected members,en,0,official_record,The Lok Sabha is directly elected by citizens and can have up to 543 elected members,politics
The Rajya Sabha has a maximum of 250 seats,en,0,official_record,The Rajya Sabha has 250 seats including 12 nominated members,politics
India's first general elections were held in 1951 to 1952,en,0,official_record,India's first general elections were the largest democratic exercise in the world at the time,politics
The Election Commission of India oversees free and fair elections,en,0,official_record,The ECI is an autonomous constitutional authority established in 1950,politics
The Constitution of India is the longest written constitution in the world,en,0,official_record,India's Constitution originally had 395 articles and 8 schedules,politics
Fundamental Rights in the Indian Constitution are guaranteed to all citizens,en,0,official_record,Part III of the Indian Constitution contains the Fundamental Rights,politics
"The Indian National Flag has three colours: saffron, white, and green",en,0,official_record,India's tricolour also features the Ashoka Chakra in blue at its centre,politics
The national emblem of India is the Lion Capital of Ashoka,en,0,official_record,The Lion Capital is adapted from the Sarnath pillar erected by Emperor Ashoka,politics
Jana Gana Mana is the national anthem of India,en,0,official_record,The national anthem was composed by Rabindranath Tagore and adopted in 1950,politics
Vande Mataram is the national song of India,en,0,official_record,Vande Mataram was composed by Bankim Chandra Chattopadhyay,politics
The tiger is the national animal of India,en,0,official_record,The Bengal tiger was declared the national animal of India in 1973,politics
The peacock is the national bird of India,en,0,official_record,The Indian peacock was declared the national bird in 1963,politics
The lotus is the national flower of India,en,0,official_record,The lotus symbolises purity and beauty in Indian culture,politics
The mango is the national fruit of India,en,0,official_record,India is the world's largest producer of mangoes,politics
The banyan tree is the national tree of India,en,0,official_record,The banyan tree is associated with immortality and found across India,politics
Sardar Vallabhbhai Patel integrated the princely states into India,en,0,official_record,Patel is known as the Iron Man of India for unifying over 500 princely states,politics
The Jallianwala Bagh massacre occurred in Amritsar in 1919,en,0,official_record,British troops fired on a peaceful gathering killing hundreds on April 13 1919,politics
The Quit India Movement was launched in 1942,en,0,official_record,Mahatma Gandhi launched the movement demanding an end to British rule,politics
India adopted Hindi and English as its official languages,en,0,official_record,The Indian Constitution recognizes Hindi and English as official languages of the Union,politics
The Indian Administrative Service is the elite civil service of India,en,0,official_record,IAS officers form the backbone of India's administrative machinery,politics
India is a nuclear-armed state,en,0,official_record,India conducted its first nuclear test in 1974 and its second series in 1998,politics
India's space program is managed by ISRO,en,0,official_record,The Indian Space Research Organisation was established in 1969,politics
India's Chandrayaan-3 made a successful lunar landing in 2023,en,0,official_record,Chandrayaan-3 landed near the Moon's south pole on August 23 2023,politics
India's Mars Orbiter Mission Mangalyaan was launched in 2013,en,0,official_record,India became the first country to reach Mars orbit on its first attempt,politics
The Panchayati Raj system is India's local self-government structure,en,0,official_record,Panchayati Raj was established by the 73rd Constitutional Amendment in 1992,politics
Manmohan Singh served as Prime Minister of India from 2004 to 2014,en,0,official_record,Singh was India's first Sikh Prime Minister,politics
P V Narasimha Rao introduced economic liberalisation in India in 1991,en,0,official_record,Rao's government opened India to foreign investment and liberalised the economy,politics
Atal Bihari Vajpayee was a former Prime Minister of India,en,0,official_record,Vajpayee served three terms as PM and oversaw the Pokhran-II nuclear tests,politics
GST in India stands for Goods and Services Tax,en,0,official_record,GST was introduced in India on July 1 2017 as a unified indirect tax,politics
NITI Aayog replaced the Planning Commission of India in 2015,en,0,official_record,NITI Aayog stands for National Institution for Transforming India,politics
India held the G20 Presidency in 2023,en,0,official_record,India's G20 theme was Vasudhaiva Kutumbakam meaning One Earth One Family One Future,politics
The Rupee symbol was adopted in 2010,en,0,official_record,The Indian Rupee symbol was designed by Udaya Kumar and officially adopted on July 15 2010,politics
India launched its first satellite Aryabhata in 1975,en,0,official_record,Aryabhata was launched with Soviet assistance on April 19 1975,politics
Article 370 granted special status to Jammu and Kashmir,en,0,official_record,Article 370 was revoked by the Indian government in August 2019,politics
Subhas Chandra Bose founded the Indian National Army,en,0,official_record,The INA fought for India's independence during World War II,politics
Bhagat Singh was executed by the British in 1931,en,0,official_record,Bhagat Singh was a revolutionary freedom fighter executed at age 23,politics
India's Supreme Court was established in 1950,en,0,official_record,The Supreme Court is the final court of appeal and guardian of the Constitution,politics
The Simla Agreement of 1972 established the Line of Control between India and Pakistan,en,0,official_record,The Simla Agreement was signed after the 1971 Indo-Pakistan war,politics
The India-Pakistan partition in 1947 caused one of history's largest mass migrations,en,0,official_record,An estimated 14 to 18 million people were displaced during the 1947 partition,politics
The United Nations was founded in 1945,en,0,official_record,The UN was established on October 24 1945 after World War II,politics
The UN Security Council has five permanent members,en,0,official_record,"The P5 are the US, UK, France, Russia, and China, each holding veto power",politics
The UN General Assembly has 193 member states,en,0,official_record,The UNGA is the main deliberative body of the United Nations,politics
NATO is a military alliance of North American and European countries,en,0,official_record,NATO was founded in 1949 and has 32 member states as of 2024,politics
The European Union has 27 member states,en,0,official_record,The EU was established by the Maastricht Treaty in 1993,politics
The G20 is a forum of the world's major economies,en,0,official_record,G20 members represent about 85 percent of global GDP,politics
The World Trade Organization regulates international trade,en,0,official_record,The WTO was established in 1995 replacing the General Agreement on Tariffs and Trade,politics
The International Monetary Fund provides financial assistance to countries,en,0,official_record,The IMF was established in 1944 and has 190 member countries,politics
The World Bank provides loans to developing countries,en,0,official_record,The World Bank focuses on reducing poverty and promoting sustainable development,politics
ASEAN is an organization of Southeast Asian nations,en,0,official_record,ASEAN was founded in 1967 and has 10 member states,politics
The African Union is a continental organization of African states,en,0,official_record,The AU was established in 2002 succeeding the Organization of African Unity,politics
The United Nations headquarters is in New York City,en,0,official_record,"The UN Headquarters has been in Manhattan, New York since 1952",politics
"NATO headquarters is located in Brussels, Belgium",en,0,official_record,NATO moved to its current Brussels building in 2018,politics
The International Criminal Court is based in The Hague,en,0,official_record,The ICC was established in 2002 to prosecute war crimes and crimes against humanity,politics
"The BRICS group includes Brazil, Russia, India, China, and South Africa",en,0,official_record,BRICS nations represent major emerging market economies,politics
The Universal Declaration of Human Rights was adopted by the UN in 1948,en,0,official_record,The UDHR was proclaimed on December 10 1948,politics
The Geneva Conventions set standards for humanitarian treatment during war,en,0,official_record,The Geneva Conventions form the basis of international humanitarian law,politics
The Red Cross is an international humanitarian organisation,en,0,official_record,The ICRC was founded in 1863 and operates in conflict zones worldwide,politics
The Paris Agreement is an international treaty on climate change,en,0,official_record,The Paris Agreement was adopted in 2015 to limit warming to well below 2°C,politics
Brexit refers to the UK's withdrawal from the European Union,en,0,official_record,The UK officially left the EU on January 31 2020,politics
The Schengen Area allows passport-free travel across 27 European countries,en,0,official_record,The Schengen Agreement was signed in 1985 and implemented in 1995,politics
The European Union uses the euro as its common currency,en,0,official_record,The eurozone consists of 20 EU member states that use the euro,politics
George Washington was the first President of the United States,en,0,official_record,Washington served two terms as US President from 1789 to 1797,history
Abraham Lincoln was the 16th President of the United States,en,0,official_record,Lincoln led the US through the Civil War and signed the Emancipation Proclamation,history
The US Declaration of Independence was signed in 1776,en,0,official_record,The Declaration was adopted by the Continental Congress on July 4 1776,history
The US Constitution was ratified in 1788,en,0,official_record,The US Constitution came into force in 1789 and is the oldest written national constitution in use,history
The French Revolution began in 1789,en,0,official_record,The French Revolution overthrew the monarchy and established the First French Republic,history
Napoleon Bonaparte became Emperor of France in 1804,en,0,official_record,Napoleon crowned himself Emperor at Notre-Dame Cathedral in Paris,history
World War I began in 1914 and ended in 1918,en,0,official_record,WWI was triggered by the assassination of Archduke Franz Ferdinand in Sarajevo,history
World War II lasted from 1939 to 1945,en,0,official_record,WWII involved most of the world's nations and resulted in over 70 million deaths,history
The Cold War was a geopolitical tension between the US and USSR,en,0,official_record,The Cold War lasted from roughly 1947 to 1991,history
The Soviet Union dissolved in 1991,en,0,official_record,The USSR formally ceased to exist on December 25 1991,history
The Berlin Wall fell in 1989,en,0,official_record,The Berlin Wall fell on November 9 1989 symbolising the end of the Cold War,history
Nelson Mandela served as South Africa's first democratically elected President,en,0,official_record,Mandela was President of South Africa from 1994 to 1999,history
Apartheid was a system of racial segregation in South Africa,en,0,official_record,Apartheid was officially dismantled in 1991 and democratic elections held in 1994,history
Pakistan was created in 1947 as a separate nation,en,0,official_record,Pakistan was formed from British India in August 1947 as a homeland for Muslims,history
Bangladesh gained independence from Pakistan in 1971,en,0,official_record,Bangladesh declared independence on March 26 1971 after a liberation war,history
Ghana was the first sub-Saharan African country to gain independence in 1957,en,0,official_record,Ghana gained independence from Britain on March 6 1957 under Kwame Nkrumah,history
South Sudan became the world's newest country in 2011,en,0,official_record,South Sudan gained independence from Sudan on July 9 2011,history
India's first satellite Aryabhata was launched in 1975,en,0,official_record,Aryabhata was India's first satellite launched with Soviet assistance,history
