claim,language,label,source,evidence,topic
Narendra Modi is the Prime Minister of India,en,True,official_record,Narendra Modi has served as India's Prime Minister since May 2014,politics
Vladimir Putin is the President of Russia,en,True,official_record,Vladimir Putin has served as President of Russia across multiple terms since 2000,politics
Xi Jinping is the President of China,en,True,official_record,Xi Jinping has been General Secretary of the CCP and President of China since 2013,politics
Joe Biden served as the 46th President of the United States,en,True,official_record,Joe Biden was inaugurated as the 46th US President on January 20 2021,politics
Emmanuel Macron is the President of France,en,True,official_record,Emmanuel Macron has been President of France since May 2017,politics
Olaf Scholz is the Chancellor of Germany,en,True,official_record,Olaf Scholz succeeded Angela Merkel as German Chancellor in December 2021,politics
Cyril Ramaphosa is the President of South Africa,en,True,official_record,Cyril Ramaphosa has been President of South Africa since February 2018,politics
Luiz Inácio Lula da Silva is the President of Brazil,en,True,official_record,Lula da Silva returned to the presidency of Brazil in January 2023,politics
Abdel Fattah el-Sisi is the President of Egypt,en,True,official_record,Abdel Fattah el-Sisi has been President of Egypt since 2014,politics
India is a federal parliamentary democratic republic,en,True,official_record,India's government is based on the Westminster model of parliamentary democracy,politics
The Indian Parliament consists of the Lok Sabha and the Rajya Sabha,en,True,official_record,The Lok Sabha is the lower house and the Rajya Sabha is the upper house of India's Parliament,politics
India became independent from British rule on August 15 1947,en,True,official_record,India's independence was achieved through the efforts of leaders like Gandhi and Nehru,politics
The Indian Constitution came into effect on January 26 1950,en,True,official_record,January 26 is celebrated as Republic Day in India,politics
Dr B R Ambedkar was the chairman of the drafting committee of the Indian Constitution,en,True,official_record,Ambedkar is known as the father of the Indian Constitution,politics
Jawaharlal Nehru was the first Prime Minister of India,en,True,official_record,Nehru served as India's first PM from 1947 until his death in 1964,politics
Rajendra Prasad was the first President of India,en,True,official_record,Rajendra Prasad served as India's first President from 1950 to 1962,politics
Indira Gandhi was the first female Prime Minister of India,en,True,official_record,Indira Gandhi served as PM from 1966 to 1977 and again from 1980 to 1984,politics
Mahatma Gandhi led India's nonviolent independence movement,en,True,official_record,Gandhi pioneered the philosophy of nonviolent civil disobedience called satyagraha,politics
The Indian National Congress was founded in 1885,en,True,official_record,The INC was one of the primary forces behind India's independence movement,politics
The Bharatiya Janata Party was founded in 1980,en,True,official_record,The BJP is currently the ruling party of India under Narendra Modi,politics
India has 28 states and 8 union territories,en,True,official_record,India's federal structure divides the country into states and union territories,politics
India's currency is the Indian Rupee,en,True,official_record,The Indian Rupee has the currency code INR,politics
The Reserve Bank of India is the country's central bank,en,True,official_record,The RBI was established in 1935 and manages India's monetary policy,politics
Droupadi Murmu became India's first tribal President in 2022,en,True,official_record,Droupadi Murmu was elected India's 15th President in July 2022,politics
India is the world's largest democracy,en,True,official_record,India has the largest number of eligible voters of any democratic country,politics
The Lok Sabha has 543 elected members,en,True,official_record,The Lok Sabha is directly elected by citizens and can have up to 543 elected members,politics
The Rajya Sabha has a maximum of 250 seats,en,True,official_record,The Rajya Sabha has 250 seats including 12 nominated members,politics
India's first general elections were held in 1951 to 1952,en,True,official_record,India's first general elections were the largest democratic exercise in the world at the time,politics
The Election Commission of India oversees free and fair elections,en,True,official_record,The ECI is an autonomous constitutional authority established in 1950,politics
The Constitution of India is the longest written constitution in the world,en,True,official_record,India's Constitution originally had 395 articles and 8 schedules,politics
Fundamental Rights in the Indian Constitution are guaranteed to all citizens,en,True,official_record,Part III of the Indian Constitution contains the Fundamental Rights,politics
"The Indian National Flag has three colours: saffron, white, and green",en,True,official_record,India's tricolour also features the Ashoka Chakra in blue at its centre,politics
The national emblem of India is the Lion Capital of Ashoka,en,True,official_record,The Lion Capital is adapted from the Sarnath pillar erected by Emperor Ashoka,politics
Jana Gana Mana is the national anthem of India,en,True,official_record,The national anthem was composed by Rabindranath Tagore and adopted in 1950,politics
Vande Mataram is the national song of India,en,True,official_record,Vande Mataram was composed by Bankim Chandra Chattopadhyay,politics
The tiger is the national animal of India,en,True,official_record,The Bengal tiger was declared the national animal of India in 1973,politics
The peacock is the national bird of India,en,True,official_record,The Indian peacock was declared the national bird in 1963,politics
The lotus is the national flower of India,en,True,official_record,The lotus symbolises purity and beauty in Indian culture,politics
The mango is the national fruit of India,en,True,official_record,India is the world's largest producer of mangoes,politics
The banyan tree is the national tree of India,en,True,official_record,The banyan tree is associated with immortality and found across India,politics
Sardar Vallabhbhai Patel integrated the princely states into India,en,True,official_record,Patel is known as the Iron Man of India for unifying over 500 princely states,politics
The Jallianwala Bagh massacre occurred in Amritsar in 1919,en,True,official_record,British troops fired on a peaceful gathering killing hundreds on April 13 1919,politics
The Quit India Movement was launched in 1942,en,True,official_record,Mahatma Gandhi launched the movement demanding an end to British rule,politics
India adopted Hindi and English as its official languages,en,True,official_record,The Indian Constitution recognizes Hindi and English as official languages of the Union,politics
The Indian Administrative Service is the elite civil service of India,en,True,official_record,IAS officers form the backbone of India's administrative machinery,politics
India is a nuclear-armed state,en,True,official_record,India conducted its first nuclear test in 1974 and its second series in 1998,politics
India's space program is managed by ISRO,en,True,official_record,The Indian Space Research Organisation was established in 1969,politics
India's Chandrayaan-3 made a successful lunar landing in 2023,en,True,official_record,Chandrayaan-3 landed near the Moon's south pole on August 23 2023,politics
India's Mars Orbiter Mission Mangalyaan was launched in 2013,en,True,official_record,India became the first country to reach Mars orbit on its first attempt,politics
The Panchayati Raj system is India's local self-government structure,en,True,official_record,Panchayati Raj was established by the 73rd Constitutional Amendment in 1992,politics
Manmohan Singh served as Prime Minister of India from 2004 to 2014,en,True,official_record,Singh was India's first Sikh Prime Minister,politics
P V Narasimha Rao introduced economic liberalisation in India in 1991,en,True,official_record,Rao's government opened India to foreign investment and liberalised the economy,politics
Atal Bihari Vajpayee was a former Prime Minister of India,en,True,official_record,Vajpayee served three terms as PM and oversaw the Pokhran-II nuclear tests,politics
GST in India stands for Goods and Services Tax,en,True,official_record,GST was introduced in India on July 1 2017 as a unified indirect tax,politics
NITI Aayog replaced the Planning Commission of India in 2015,en,True,official_record,NITI Aayog stands for National Institution for Transforming India,politics
India held the G20 Presidency in 2023,en,True,official_record,India's G20 theme was Vasudhaiva Kutumbakam meaning One Earth One Family One Future,politics
The Rupee symbol was adopted in 2010,en,True,official_record,The Indian Rupee symbol was designed by Udaya Kumar and officially adopted on July 15 2010,politics
India launched its first satellite Aryabhata in 1975,en,True,official_record,Aryabhata was launched with Soviet assistance on April 19 1975,politics
Article 370 granted special status to Jammu and Kashmir,en,True,official_record,Article 370 was revoked by the Indian government in August 2019,politics
Subhas Chandra Bose founded the Indian National Army,en,True,official_record,The INA fought for India's independence during World War II,politics
Bhagat Singh was executed by the British in 1931,en,True,official_record,Bhagat Singh was a revolutionary freedom fighter executed at age 23,politics
